"Million Plus Cities","Cause category","Cause Subcategory","Outcome of Incident",Count
Ghaziabad,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",33
Ghaziabad,"Traffic Control",Others,"Greviously Injured",170
Ghaziabad,"Traffic Control",Others,"Minor Injury",66
Ghaziabad,"Traffic Control",Others,"Persons Killed",194
Ghaziabad,"Traffic Control",Others,"Total Injured",236
Ghaziabad,"Traffic Control",Others,"Total number of Accidents",336
Ghaziabad,"Traffic Control","Police Controlled","Greviously Injured",0
Ghaziabad,"Traffic Control","Police Controlled","Minor Injury",2
Ghaziabad,"Traffic Control","Police Controlled","Persons Killed",0
Ghaziabad,"Traffic Control","Police Controlled","Total Injured",2
Ghaziabad,"Traffic Control","Police Controlled","Total number of Accidents",2
Ghaziabad,"Traffic Control","Stop Sign","Greviously Injured",4
Ghaziabad,"Traffic Control","Stop Sign","Minor Injury",12
Ghaziabad,"Traffic Control","Stop Sign","Persons Killed",10
Ghaziabad,"Traffic Control","Stop Sign","Total Injured",16
Ghaziabad,"Traffic Control","Stop Sign","Total number of Accidents",28
Ghaziabad,"Traffic Control","Traffic Light Signal","Greviously Injured",10
Ghaziabad,"Traffic Control","Traffic Light Signal","Minor Injury",16
Ghaziabad,"Traffic Control","Traffic Light Signal","Persons Killed",8
Ghaziabad,"Traffic Control","Traffic Light Signal","Total Injured",26
Ghaziabad,"Traffic Control","Traffic Light Signal","Total number of Accidents",33
Ghaziabad,"Traffic Control",Uncontrolled,"Greviously Injured",97
Ghaziabad,"Traffic Control",Uncontrolled,"Minor Injury",72
Ghaziabad,"Traffic Control",Uncontrolled,"Persons Killed",103
Ghaziabad,"Traffic Control",Uncontrolled,"Total Injured",169
Ghaziabad,"Traffic Control",Uncontrolled,"Total number of Accidents",276
Gwalior,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Gwalior,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Gwalior,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Gwalior,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Gwalior,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Gwalior,"Traffic Control",Others,"Greviously Injured",46
Gwalior,"Traffic Control",Others,"Minor Injury",696
Gwalior,"Traffic Control",Others,"Persons Killed",194
Gwalior,"Traffic Control",Others,"Total Injured",742
Gwalior,"Traffic Control",Others,"Total number of Accidents",1015
Gwalior,"Traffic Control","Police Controlled","Greviously Injured",0
Gwalior,"Traffic Control","Police Controlled","Minor Injury",0
Gwalior,"Traffic Control","Police Controlled","Persons Killed",0
Gwalior,"Traffic Control","Police Controlled","Total Injured",0
Gwalior,"Traffic Control","Police Controlled","Total number of Accidents",0
Gwalior,"Traffic Control","Stop Sign","Greviously Injured",0
Gwalior,"Traffic Control","Stop Sign","Minor Injury",0
Gwalior,"Traffic Control","Stop Sign","Persons Killed",0
Gwalior,"Traffic Control","Stop Sign","Total Injured",0
Gwalior,"Traffic Control","Stop Sign","Total number of Accidents",0
Gwalior,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Gwalior,"Traffic Control","Traffic Light Signal","Minor Injury",0
Gwalior,"Traffic Control","Traffic Light Signal","Persons Killed",0
Gwalior,"Traffic Control","Traffic Light Signal","Total Injured",0
Gwalior,"Traffic Control","Traffic Light Signal","Total number of Accidents",0
Gwalior,"Traffic Control",Uncontrolled,"Greviously Injured",49
Gwalior,"Traffic Control",Uncontrolled,"Minor Injury",538
Gwalior,"Traffic Control",Uncontrolled,"Persons Killed",122
Gwalior,"Traffic Control",Uncontrolled,"Total Injured",587
Gwalior,"Traffic Control",Uncontrolled,"Total number of Accidents",784
Hyderabad,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Hyderabad,"Traffic Control","Flashing Signal/Blinker","Minor Injury",73
Hyderabad,"Traffic Control","Flashing Signal/Blinker","Persons Killed",10
Hyderabad,"Traffic Control","Flashing Signal/Blinker","Total Injured",73
Hyderabad,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",83
Hyderabad,"Traffic Control",Others,"Greviously Injured",0
Hyderabad,"Traffic Control",Others,"Minor Injury",0
Hyderabad,"Traffic Control",Others,"Persons Killed",0
Hyderabad,"Traffic Control",Others,"Total Injured",0
Hyderabad,"Traffic Control",Others,"Total number of Accidents",0
Hyderabad,"Traffic Control","Police Controlled","Greviously Injured",5
Hyderabad,"Traffic Control","Police Controlled","Minor Injury",53
Hyderabad,"Traffic Control","Police Controlled","Persons Killed",3
Hyderabad,"Traffic Control","Police Controlled","Total Injured",58
Hyderabad,"Traffic Control","Police Controlled","Total number of Accidents",56
Hyderabad,"Traffic Control","Stop Sign","Greviously Injured",3
Hyderabad,"Traffic Control","Stop Sign","Minor Injury",17
Hyderabad,"Traffic Control","Stop Sign","Persons Killed",1
Hyderabad,"Traffic Control","Stop Sign","Total Injured",20
Hyderabad,"Traffic Control","Stop Sign","Total number of Accidents",20
Hyderabad,"Traffic Control","Traffic Light Signal","Greviously Injured",10
Hyderabad,"Traffic Control","Traffic Light Signal","Minor Injury",167
Hyderabad,"Traffic Control","Traffic Light Signal","Persons Killed",19
Hyderabad,"Traffic Control","Traffic Light Signal","Total Injured",177
Hyderabad,"Traffic Control","Traffic Light Signal","Total number of Accidents",195
Hyderabad,"Traffic Control",Uncontrolled,"Greviously Injured",79
Hyderabad,"Traffic Control",Uncontrolled,"Minor Injury",1485
Hyderabad,"Traffic Control",Uncontrolled,"Persons Killed",221
Hyderabad,"Traffic Control",Uncontrolled,"Total Injured",1564
Hyderabad,"Traffic Control",Uncontrolled,"Total number of Accidents",1710
Indore,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Indore,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Indore,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Indore,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Indore,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Indore,"Traffic Control",Others,"Greviously Injured",51
Indore,"Traffic Control",Others,"Minor Injury",1138
Indore,"Traffic Control",Others,"Persons Killed",292
Indore,"Traffic Control",Others,"Total Injured",1189
Indore,"Traffic Control",Others,"Total number of Accidents",1396
Indore,"Traffic Control","Police Controlled","Greviously Injured",0
Indore,"Traffic Control","Police Controlled","Minor Injury",0
Indore,"Traffic Control","Police Controlled","Persons Killed",0
Indore,"Traffic Control","Police Controlled","Total Injured",0
Indore,"Traffic Control","Police Controlled","Total number of Accidents",0
Indore,"Traffic Control","Stop Sign","Greviously Injured",0
Indore,"Traffic Control","Stop Sign","Minor Injury",0
Indore,"Traffic Control","Stop Sign","Persons Killed",0
Indore,"Traffic Control","Stop Sign","Total Injured",0
Indore,"Traffic Control","Stop Sign","Total number of Accidents",0
Indore,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Indore,"Traffic Control","Traffic Light Signal","Minor Injury",2
Indore,"Traffic Control","Traffic Light Signal","Persons Killed",0
Indore,"Traffic Control","Traffic Light Signal","Total Injured",2
Indore,"Traffic Control","Traffic Light Signal","Total number of Accidents",2
Indore,"Traffic Control",Uncontrolled,"Greviously Injured",171
Indore,"Traffic Control",Uncontrolled,"Minor Injury",1286
Indore,"Traffic Control",Uncontrolled,"Persons Killed",167
Indore,"Traffic Control",Uncontrolled,"Total Injured",1457
Indore,"Traffic Control",Uncontrolled,"Total number of Accidents",1638
Jabalpur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Jabalpur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Jabalpur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Jabalpur,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Jabalpur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Jabalpur,"Traffic Control",Others,"Greviously Injured",243
Jabalpur,"Traffic Control",Others,"Minor Injury",1254
Jabalpur,"Traffic Control",Others,"Persons Killed",205
Jabalpur,"Traffic Control",Others,"Total Injured",1497
Jabalpur,"Traffic Control",Others,"Total number of Accidents",1548
Jabalpur,"Traffic Control","Police Controlled","Greviously Injured",0
Jabalpur,"Traffic Control","Police Controlled","Minor Injury",0
Jabalpur,"Traffic Control","Police Controlled","Persons Killed",0
Jabalpur,"Traffic Control","Police Controlled","Total Injured",0
Jabalpur,"Traffic Control","Police Controlled","Total number of Accidents",0
Jabalpur,"Traffic Control","Stop Sign","Greviously Injured",0
Jabalpur,"Traffic Control","Stop Sign","Minor Injury",0
Jabalpur,"Traffic Control","Stop Sign","Persons Killed",0
Jabalpur,"Traffic Control","Stop Sign","Total Injured",0
Jabalpur,"Traffic Control","Stop Sign","Total number of Accidents",0
Jabalpur,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Jabalpur,"Traffic Control","Traffic Light Signal","Minor Injury",0
Jabalpur,"Traffic Control","Traffic Light Signal","Persons Killed",0
Jabalpur,"Traffic Control","Traffic Light Signal","Total Injured",0
Jabalpur,"Traffic Control","Traffic Light Signal","Total number of Accidents",0
Jabalpur,"Traffic Control",Uncontrolled,"Greviously Injured",247
Jabalpur,"Traffic Control",Uncontrolled,"Minor Injury",1513
Jabalpur,"Traffic Control",Uncontrolled,"Persons Killed",217
Jabalpur,"Traffic Control",Uncontrolled,"Total Injured",1760
Jabalpur,"Traffic Control",Uncontrolled,"Total number of Accidents",1678
Jaipur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",1
Jaipur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",3
Jaipur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",4
Jaipur,"Traffic Control","Flashing Signal/Blinker","Total Injured",4
Jaipur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",8
Jaipur,"Traffic Control",Others,"Greviously Injured",345
Jaipur,"Traffic Control",Others,"Minor Injury",829
Jaipur,"Traffic Control",Others,"Persons Killed",459
Jaipur,"Traffic Control",Others,"Total Injured",1174
Jaipur,"Traffic Control",Others,"Total number of Accidents",1449
Jaipur,"Traffic Control","Police Controlled","Greviously Injured",4
Jaipur,"Traffic Control","Police Controlled","Minor Injury",5
Jaipur,"Traffic Control","Police Controlled","Persons Killed",0
Jaipur,"Traffic Control","Police Controlled","Total Injured",9
Jaipur,"Traffic Control","Police Controlled","Total number of Accidents",7
Jaipur,"Traffic Control","Stop Sign","Greviously Injured",0
Jaipur,"Traffic Control","Stop Sign","Minor Injury",0
Jaipur,"Traffic Control","Stop Sign","Persons Killed",0
Jaipur,"Traffic Control","Stop Sign","Total Injured",0
Jaipur,"Traffic Control","Stop Sign","Total number of Accidents",0
Jaipur,"Traffic Control","Traffic Light Signal","Greviously Injured",48
Jaipur,"Traffic Control","Traffic Light Signal","Minor Injury",94
Jaipur,"Traffic Control","Traffic Light Signal","Persons Killed",58
Jaipur,"Traffic Control","Traffic Light Signal","Total Injured",142
Jaipur,"Traffic Control","Traffic Light Signal","Total number of Accidents",185
Jaipur,"Traffic Control",Uncontrolled,"Greviously Injured",46
Jaipur,"Traffic Control",Uncontrolled,"Minor Injury",193
Jaipur,"Traffic Control",Uncontrolled,"Persons Killed",85
Jaipur,"Traffic Control",Uncontrolled,"Total Injured",239
Jaipur,"Traffic Control",Uncontrolled,"Total number of Accidents",291
Jamshedpur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",11
Jamshedpur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",1
Jamshedpur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",6
Jamshedpur,"Traffic Control","Flashing Signal/Blinker","Total Injured",12
Jamshedpur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",14
Jamshedpur,"Traffic Control",Others,"Greviously Injured",0
Jamshedpur,"Traffic Control",Others,"Minor Injury",0
Jamshedpur,"Traffic Control",Others,"Persons Killed",0
Jamshedpur,"Traffic Control",Others,"Total Injured",0
Jamshedpur,"Traffic Control",Others,"Total number of Accidents",0
Jamshedpur,"Traffic Control","Police Controlled","Greviously Injured",9
Jamshedpur,"Traffic Control","Police Controlled","Minor Injury",2
Jamshedpur,"Traffic Control","Police Controlled","Persons Killed",6
Jamshedpur,"Traffic Control","Police Controlled","Total Injured",11
Jamshedpur,"Traffic Control","Police Controlled","Total number of Accidents",15
Jamshedpur,"Traffic Control","Stop Sign","Greviously Injured",10
Jamshedpur,"Traffic Control","Stop Sign","Minor Injury",2
Jamshedpur,"Traffic Control","Stop Sign","Persons Killed",5
Jamshedpur,"Traffic Control","Stop Sign","Total Injured",12
Jamshedpur,"Traffic Control","Stop Sign","Total number of Accidents",16
Jamshedpur,"Traffic Control","Traffic Light Signal","Greviously Injured",12
Jamshedpur,"Traffic Control","Traffic Light Signal","Minor Injury",2
Jamshedpur,"Traffic Control","Traffic Light Signal","Persons Killed",8
Jamshedpur,"Traffic Control","Traffic Light Signal","Total Injured",14
Jamshedpur,"Traffic Control","Traffic Light Signal","Total number of Accidents",17
Jamshedpur,"Traffic Control",Uncontrolled,"Greviously Injured",34
Jamshedpur,"Traffic Control",Uncontrolled,"Minor Injury",8
Jamshedpur,"Traffic Control",Uncontrolled,"Persons Killed",22
Jamshedpur,"Traffic Control",Uncontrolled,"Total Injured",42
Jamshedpur,"Traffic Control",Uncontrolled,"Total number of Accidents",57
Jodhpur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Jodhpur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",1
Jodhpur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",3
Jodhpur,"Traffic Control","Flashing Signal/Blinker","Total Injured",1
Jodhpur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",4
Jodhpur,"Traffic Control",Others,"Greviously Injured",27
Jodhpur,"Traffic Control",Others,"Minor Injury",120
Jodhpur,"Traffic Control",Others,"Persons Killed",104
Jodhpur,"Traffic Control",Others,"Total Injured",147
Jodhpur,"Traffic Control",Others,"Total number of Accidents",197
Jodhpur,"Traffic Control","Police Controlled","Greviously Injured",0
Jodhpur,"Traffic Control","Police Controlled","Minor Injury",9
Jodhpur,"Traffic Control","Police Controlled","Persons Killed",6
Jodhpur,"Traffic Control","Police Controlled","Total Injured",9
Jodhpur,"Traffic Control","Police Controlled","Total number of Accidents",12
Jodhpur,"Traffic Control","Stop Sign","Greviously Injured",0
Jodhpur,"Traffic Control","Stop Sign","Minor Injury",0
Jodhpur,"Traffic Control","Stop Sign","Persons Killed",0
Jodhpur,"Traffic Control","Stop Sign","Total Injured",0
Jodhpur,"Traffic Control","Stop Sign","Total number of Accidents",0
Jodhpur,"Traffic Control","Traffic Light Signal","Greviously Injured",1
Jodhpur,"Traffic Control","Traffic Light Signal","Minor Injury",6
Jodhpur,"Traffic Control","Traffic Light Signal","Persons Killed",1
Jodhpur,"Traffic Control","Traffic Light Signal","Total Injured",7
Jodhpur,"Traffic Control","Traffic Light Signal","Total number of Accidents",7
Jodhpur,"Traffic Control",Uncontrolled,"Greviously Injured",5
Jodhpur,"Traffic Control",Uncontrolled,"Minor Injury",38
Jodhpur,"Traffic Control",Uncontrolled,"Persons Killed",28
Jodhpur,"Traffic Control",Uncontrolled,"Total Injured",43
Jodhpur,"Traffic Control",Uncontrolled,"Total number of Accidents",72
Kannur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Kannur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Kannur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Kannur,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Kannur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Kannur,"Traffic Control",Others,"Greviously Injured",214
Kannur,"Traffic Control",Others,"Minor Injury",190
Kannur,"Traffic Control",Others,"Persons Killed",46
Kannur,"Traffic Control",Others,"Total Injured",404
Kannur,"Traffic Control",Others,"Total number of Accidents",362
Kannur,"Traffic Control","Police Controlled","Greviously Injured",12
Kannur,"Traffic Control","Police Controlled","Minor Injury",10
Kannur,"Traffic Control","Police Controlled","Persons Killed",4
Kannur,"Traffic Control","Police Controlled","Total Injured",22
Kannur,"Traffic Control","Police Controlled","Total number of Accidents",27
Kannur,"Traffic Control","Stop Sign","Greviously Injured",0
Kannur,"Traffic Control","Stop Sign","Minor Injury",0
Kannur,"Traffic Control","Stop Sign","Persons Killed",0
Kannur,"Traffic Control","Stop Sign","Total Injured",0
Kannur,"Traffic Control","Stop Sign","Total number of Accidents",0
Kannur,"Traffic Control","Traffic Light Signal","Greviously Injured",3
Kannur,"Traffic Control","Traffic Light Signal","Minor Injury",4
Kannur,"Traffic Control","Traffic Light Signal","Persons Killed",0
Kannur,"Traffic Control","Traffic Light Signal","Total Injured",7
Kannur,"Traffic Control","Traffic Light Signal","Total number of Accidents",6
Kannur,"Traffic Control",Uncontrolled,"Greviously Injured",75
Kannur,"Traffic Control",Uncontrolled,"Minor Injury",65
Kannur,"Traffic Control",Uncontrolled,"Persons Killed",7
Kannur,"Traffic Control",Uncontrolled,"Total Injured",140
Kannur,"Traffic Control",Uncontrolled,"Total number of Accidents",109
Kanpur,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",34
Kanpur,"Traffic Control","Flashing Signal/Blinker","Minor Injury",3
Kanpur,"Traffic Control","Flashing Signal/Blinker","Persons Killed",24
Kanpur,"Traffic Control","Flashing Signal/Blinker","Total Injured",37
Kanpur,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",56
Kanpur,"Traffic Control",Others,"Greviously Injured",584
Kanpur,"Traffic Control",Others,"Minor Injury",72
Kanpur,"Traffic Control",Others,"Persons Killed",479
Kanpur,"Traffic Control",Others,"Total Injured",656
Kanpur,"Traffic Control",Others,"Total number of Accidents",1037
Kanpur,"Traffic Control","Police Controlled","Greviously Injured",2
Kanpur,"Traffic Control","Police Controlled","Minor Injury",0
Kanpur,"Traffic Control","Police Controlled","Persons Killed",2
Kanpur,"Traffic Control","Police Controlled","Total Injured",2
Kanpur,"Traffic Control","Police Controlled","Total number of Accidents",4
Kanpur,"Traffic Control","Stop Sign","Greviously Injured",2
Kanpur,"Traffic Control","Stop Sign","Minor Injury",0
Kanpur,"Traffic Control","Stop Sign","Persons Killed",3
Kanpur,"Traffic Control","Stop Sign","Total Injured",2
Kanpur,"Traffic Control","Stop Sign","Total number of Accidents",7
Kanpur,"Traffic Control","Traffic Light Signal","Greviously Injured",2
Kanpur,"Traffic Control","Traffic Light Signal","Minor Injury",0
Kanpur,"Traffic Control","Traffic Light Signal","Persons Killed",2
Kanpur,"Traffic Control","Traffic Light Signal","Total Injured",2
Kanpur,"Traffic Control","Traffic Light Signal","Total number of Accidents",5
Kanpur,"Traffic Control",Uncontrolled,"Greviously Injured",69
Kanpur,"Traffic Control",Uncontrolled,"Minor Injury",10
Kanpur,"Traffic Control",Uncontrolled,"Persons Killed",53
Kanpur,"Traffic Control",Uncontrolled,"Total Injured",79
Kanpur,"Traffic Control",Uncontrolled,"Total number of Accidents",115
Khozikode,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",6
Khozikode,"Traffic Control","Flashing Signal/Blinker","Minor Injury",1
Khozikode,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Khozikode,"Traffic Control","Flashing Signal/Blinker","Total Injured",7
Khozikode,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",7
Khozikode,"Traffic Control",Others,"Greviously Injured",555
Khozikode,"Traffic Control",Others,"Minor Injury",181
Khozikode,"Traffic Control",Others,"Persons Killed",74
Khozikode,"Traffic Control",Others,"Total Injured",736
Khozikode,"Traffic Control",Others,"Total number of Accidents",724
Khozikode,"Traffic Control","Police Controlled","Greviously Injured",39
Khozikode,"Traffic Control","Police Controlled","Minor Injury",15
Khozikode,"Traffic Control","Police Controlled","Persons Killed",4
Khozikode,"Traffic Control","Police Controlled","Total Injured",54
Khozikode,"Traffic Control","Police Controlled","Total number of Accidents",54
Khozikode,"Traffic Control","Stop Sign","Greviously Injured",0
Khozikode,"Traffic Control","Stop Sign","Minor Injury",1
Khozikode,"Traffic Control","Stop Sign","Persons Killed",0
Khozikode,"Traffic Control","Stop Sign","Total Injured",1
Khozikode,"Traffic Control","Stop Sign","Total number of Accidents",1
Khozikode,"Traffic Control","Traffic Light Signal","Greviously Injured",22
Khozikode,"Traffic Control","Traffic Light Signal","Minor Injury",9
Khozikode,"Traffic Control","Traffic Light Signal","Persons Killed",3
Khozikode,"Traffic Control","Traffic Light Signal","Total Injured",31
Khozikode,"Traffic Control","Traffic Light Signal","Total number of Accidents",39
Khozikode,"Traffic Control",Uncontrolled,"Greviously Injured",140
Khozikode,"Traffic Control",Uncontrolled,"Minor Injury",43
Khozikode,"Traffic Control",Uncontrolled,"Persons Killed",10
Khozikode,"Traffic Control",Uncontrolled,"Total Injured",183
Khozikode,"Traffic Control",Uncontrolled,"Total number of Accidents",178
Kochi,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",23
Kochi,"Traffic Control","Flashing Signal/Blinker","Minor Injury",8
Kochi,"Traffic Control","Flashing Signal/Blinker","Persons Killed",1
Kochi,"Traffic Control","Flashing Signal/Blinker","Total Injured",31
Kochi,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",30
Kochi,"Traffic Control",Others,"Greviously Injured",712
Kochi,"Traffic Control",Others,"Minor Injury",175
Kochi,"Traffic Control",Others,"Persons Killed",70
Kochi,"Traffic Control",Others,"Total Injured",887
Kochi,"Traffic Control",Others,"Total number of Accidents",866
Kochi,"Traffic Control","Police Controlled","Greviously Injured",223
Kochi,"Traffic Control","Police Controlled","Minor Injury",51
Kochi,"Traffic Control","Police Controlled","Persons Killed",23
Kochi,"Traffic Control","Police Controlled","Total Injured",274
Kochi,"Traffic Control","Police Controlled","Total number of Accidents",286
Kochi,"Traffic Control","Stop Sign","Greviously Injured",1
Kochi,"Traffic Control","Stop Sign","Minor Injury",0
Kochi,"Traffic Control","Stop Sign","Persons Killed",0
Kochi,"Traffic Control","Stop Sign","Total Injured",1
Kochi,"Traffic Control","Stop Sign","Total number of Accidents",2
Kochi,"Traffic Control","Traffic Light Signal","Greviously Injured",96
Kochi,"Traffic Control","Traffic Light Signal","Minor Injury",17
Kochi,"Traffic Control","Traffic Light Signal","Persons Killed",5
Kochi,"Traffic Control","Traffic Light Signal","Total Injured",113
Kochi,"Traffic Control","Traffic Light Signal","Total number of Accidents",119
Kochi,"Traffic Control",Uncontrolled,"Greviously Injured",67
Kochi,"Traffic Control",Uncontrolled,"Minor Injury",33
Kochi,"Traffic Control",Uncontrolled,"Persons Killed",2
Kochi,"Traffic Control",Uncontrolled,"Total Injured",100
Kochi,"Traffic Control",Uncontrolled,"Total number of Accidents",134
Kolkata,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",21
Kolkata,"Traffic Control","Flashing Signal/Blinker","Minor Injury",19
Kolkata,"Traffic Control","Flashing Signal/Blinker","Persons Killed",2
Kolkata,"Traffic Control","Flashing Signal/Blinker","Total Injured",40
Kolkata,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",54
Kolkata,"Traffic Control",Others,"Greviously Injured",535
Kolkata,"Traffic Control",Others,"Minor Injury",280
Kolkata,"Traffic Control",Others,"Persons Killed",159
Kolkata,"Traffic Control",Others,"Total Injured",815
Kolkata,"Traffic Control",Others,"Total number of Accidents",948
Kolkata,"Traffic Control","Police Controlled","Greviously Injured",34
Kolkata,"Traffic Control","Police Controlled","Minor Injury",29
Kolkata,"Traffic Control","Police Controlled","Persons Killed",25
Kolkata,"Traffic Control","Police Controlled","Total Injured",63
Kolkata,"Traffic Control","Police Controlled","Total number of Accidents",105
Kolkata,"Traffic Control","Stop Sign","Greviously Injured",24
Kolkata,"Traffic Control","Stop Sign","Minor Injury",22
Kolkata,"Traffic Control","Stop Sign","Persons Killed",0
Kolkata,"Traffic Control","Stop Sign","Total Injured",46
Kolkata,"Traffic Control","Stop Sign","Total number of Accidents",59
Kolkata,"Traffic Control","Traffic Light Signal","Greviously Injured",115
Kolkata,"Traffic Control","Traffic Light Signal","Minor Injury",106
Kolkata,"Traffic Control","Traffic Light Signal","Persons Killed",9
Kolkata,"Traffic Control","Traffic Light Signal","Total Injured",221
Kolkata,"Traffic Control","Traffic Light Signal","Total number of Accidents",265
Kolkata,"Traffic Control",Uncontrolled,"Greviously Injured",115
Kolkata,"Traffic Control",Uncontrolled,"Minor Injury",101
Kolkata,"Traffic Control",Uncontrolled,"Persons Killed",6
Kolkata,"Traffic Control",Uncontrolled,"Total Injured",216
Kolkata,"Traffic Control",Uncontrolled,"Total number of Accidents",252
Kollam,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",92
Kollam,"Traffic Control","Flashing Signal/Blinker","Minor Injury",17
Kollam,"Traffic Control","Flashing Signal/Blinker","Persons Killed",13
Kollam,"Traffic Control","Flashing Signal/Blinker","Total Injured",109
Kollam,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",98
Kollam,"Traffic Control",Others,"Greviously Injured",603
Kollam,"Traffic Control",Others,"Minor Injury",76
Kollam,"Traffic Control",Others,"Persons Killed",105
Kollam,"Traffic Control",Others,"Total Injured",679
Kollam,"Traffic Control",Others,"Total number of Accidents",716
Kollam,"Traffic Control","Police Controlled","Greviously Injured",110
Kollam,"Traffic Control","Police Controlled","Minor Injury",13
Kollam,"Traffic Control","Police Controlled","Persons Killed",11
Kollam,"Traffic Control","Police Controlled","Total Injured",123
Kollam,"Traffic Control","Police Controlled","Total number of Accidents",130
Kollam,"Traffic Control","Stop Sign","Greviously Injured",53
Kollam,"Traffic Control","Stop Sign","Minor Injury",5
Kollam,"Traffic Control","Stop Sign","Persons Killed",7
Kollam,"Traffic Control","Stop Sign","Total Injured",58
Kollam,"Traffic Control","Stop Sign","Total number of Accidents",61
Kollam,"Traffic Control","Traffic Light Signal","Greviously Injured",74
Kollam,"Traffic Control","Traffic Light Signal","Minor Injury",16
Kollam,"Traffic Control","Traffic Light Signal","Persons Killed",13
Kollam,"Traffic Control","Traffic Light Signal","Total Injured",90
Kollam,"Traffic Control","Traffic Light Signal","Total number of Accidents",91
Kollam,"Traffic Control",Uncontrolled,"Greviously Injured",274
Kollam,"Traffic Control",Uncontrolled,"Minor Injury",48
Kollam,"Traffic Control",Uncontrolled,"Persons Killed",45
Kollam,"Traffic Control",Uncontrolled,"Total Injured",322
Kollam,"Traffic Control",Uncontrolled,"Total number of Accidents",315
Kota,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Kota,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Kota,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Kota,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Kota,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Kota,"Traffic Control",Others,"Greviously Injured",45
Kota,"Traffic Control",Others,"Minor Injury",223
Kota,"Traffic Control",Others,"Persons Killed",53
Kota,"Traffic Control",Others,"Total Injured",268
Kota,"Traffic Control",Others,"Total number of Accidents",267
Kota,"Traffic Control","Police Controlled","Greviously Injured",0
Kota,"Traffic Control","Police Controlled","Minor Injury",1
Kota,"Traffic Control","Police Controlled","Persons Killed",0
Kota,"Traffic Control","Police Controlled","Total Injured",1
Kota,"Traffic Control","Police Controlled","Total number of Accidents",1
Kota,"Traffic Control","Stop Sign","Greviously Injured",0
Kota,"Traffic Control","Stop Sign","Minor Injury",0
Kota,"Traffic Control","Stop Sign","Persons Killed",0
Kota,"Traffic Control","Stop Sign","Total Injured",0
Kota,"Traffic Control","Stop Sign","Total number of Accidents",0
Kota,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Kota,"Traffic Control","Traffic Light Signal","Minor Injury",0
Kota,"Traffic Control","Traffic Light Signal","Persons Killed",0
Kota,"Traffic Control","Traffic Light Signal","Total Injured",0
